TransactionID,CustomerID,Age,Gender,Income,ProductCategory,Product,Quantity,Price,TotalAmount,PaymentMethod,StoreLocation,PurchaseDate,DayOfWeek,TimeOfDay,Promotion,Returned
54,1012,44,Female,43833,Home,Table,4,355.12,1420.48,Debit Card,South,2024-09-24,Tuesday,Evening,No,Yes
55,1630,69,Female,90931,Home,Lamp,5,137.86,689.3,Credit Card,North,2024-05-22,Wednesday,Afternoon,Yes,No
56,1583,57,Female,74092,Electronics,Tablet,3,95.01,285.03,Credit Card,East,2024-05-12,Sunday,Afternoon,No,Yes
57,1718,35,Male,97715,Grocery,Milk,2,361.44,722.88,Debit Card,South,2024-12-19,Thursday,Afternoon,No,Yes
58,1458,68,Male,42196,Clothing,Shirt,4,347.43,1389.72,Debit Card,East,2024-08-30,Friday,Evening,No,Yes
59,1435,65,Female,76112,Home,Table,3,129.44,388.32,Credit Card,South,2024-06-10,Monday,Morning,Yes,No
60,1221,65,Female,66241,Sports,Tennis Racket,5,145.08,725.4,Credit Card,South,2024-05-31,Friday,Morning,No,Yes
61,1183,37,Male,100010,Grocery,Eggs,1,487.28,487.28,Cash,East,2024-12-23,Monday,Morning,No,Yes
62,1105,18,Female,91524,Home,Table,3,96.26,288.78,Credit Card,East,2024-09-01,Sunday,Morning,Yes,No
63,1503,22,Male,49887,Grocery,Eggs,1,496.99,496.99,Credit Card,West,2024-11-06,Wednesday,Evening,Yes,Yes
64,1389,46,Female,68974,Sports,Basketball,3,286.47,859.41,Credit Card,North,2024-04-16,Tuesday,Evening,Yes,No
65,1676,23,Male,61439,Grocery,Milk,2,6.32,12.64,Debit Card,West,2024-05-29,Wednesday,Morning,Yes,No
66,1723,36,Female,39329,Grocery,Eggs,5,332.29,1661.45,Credit Card,West,2024-02-28,Wednesday,Evening,Yes,Yes
67,1152,35,Male,39359,Electronics,Phone,3,299.55,898.65,Cash,East,2024-08-12,Monday,Morning,No,Yes
68,1705,37,Female,65683,Sports,Tennis Racket,4,221.69,886.76,Cash,North,2024-08-09,Friday,Evening,No,Yes
69,1618,34,Male,41970,Grocery,Milk,3,290.24,870.72,Credit Card,West,2024-09-22,Sunday,Evening,No,Yes
70,1938,35,Male,106720,Home,Lamp,4,484.68,1938.72,Debit Card,East,2024-07-28,Sunday,Afternoon,No,Yes
71,1686,24,Male,73228,Home,Lamp,4,147.67,590.68,Debit Card,North,2024-08-20,Tuesday,Morning,No,Yes
72,1258,38,Male,82976,Sports,Football,5,233.68,1168.4,Credit Card,South,2024-09-22,Sunday,Afternoon,No,Yes
73,1640,46,Male,56680,Clothing,Jacket,2,464.2,928.4,Debit Card,West,2024-03-03,Sunday,Morning,Yes,Yes
74,1162,37,Male,102384,Home,Chair,2,496.17,992.34,Credit Card,West,2024-03-01,Friday,Evening,Yes,No
75,1955,63,Female,96698,Clothing,Jeans,4,490.22,1960.88,Credit Card,West,2024-10-09,Wednesday,Morning,No,Yes
76,1195,56,Male,39150,Clothing,Jeans,3,467.45,1402.35,Cash,East,2024-01-02,Tuesday,Afternoon,No,Yes
77,1857,55,Female,49476,Home,Lamp,4,175.84,703.36,Cash,West,2024-08-21,Wednesday,Afternoon,Yes,Yes
78,1244,54,Female,60613,Home,Chair,3,373.63,1120.89,Cash,West,2024-07-16,Tuesday,Evening,Yes,No
79,1987,20,Male,95836,Sports,Basketball,1,437.72,437.72,Debit Card,North,2024-09-26,Thursday,Afternoon,Yes,Yes
80,1147,44,Male,39807,Home,Table,3,313.51,940.53,Debit Card,North,2024-06-17,Monday,Evening,No,Yes
81,1977,38,Female,100912,Electronics,Laptop,2,317.42,634.84,Debit Card,South,2024-02-16,Friday,Afternoon,Yes,Yes
82,1720,24,Female,51805,Clothing,Shirt,1,165.57,165.57,Credit Card,East,2024-07-02,Tuesday,Afternoon,No,No
83,1250,51,Female,104177,Grocery,Bread,2,44.09,88.18,Debit Card,South,2024-09-11,Wednesday,Evening,Yes,No
84,1472,58,Female,90236,Clothing,Jacket,1,449.96,449.96,Debit Card,East,2024-12-12,Thursday,Evening,Yes,No
85,1452,40,Female,113746,Home,Lamp,3,231.13,693.39,Debit Card,South,2024-07-15,Monday,Afternoon,Yes,No
86,1390,54,Female,105341,Clothing,Jacket,3,15.86,47.58,Cash,West,2024-05-20,Monday,Morning,Yes,Yes
87,1763,49,Female,60162,Sports,Basketball,2,320.13,640.26,Cash,East,2024-12-13,Friday,Evening,Yes,Yes
88,1099,58,Male,70492,Home,Chair,5,185.61,928.05,Credit Card,North,2024-05-31,Friday,Afternoon,No,Yes
89,1179,30,Male,100701,Clothing,Jacket,5,457.18,2285.9,Credit Card,East,2024-09-03,Tuesday,Afternoon,No,Yes
90,1823,25,Female,39869,Grocery,Bread,4,483.8,1935.2,Cash,East,2024-02-16,Friday,Afternoon,Yes,No
91,1549,25,Female,78311,Clothing,Jacket,4,412.1,1648.4,Debit Card,North,2024-12-11,Wednesday,Morning,No,Yes
92,1025,57,Female,109964,Grocery,Milk,4,455.15,1820.6,Debit Card,West,2024-02-29,Thursday,Morning,Yes,No
93,1311,49,Male,42739,Grocery,Bread,4,229.55,918.2,Cash,West,2024-10-27,Sunday,Evening,Yes,No
94,1670,24,Female,110694,Home,Table,1,346.69,346.69,Credit Card,West,2024-08-15,Thursday,Morning,No,Yes
95,1101,61,Female,101364,Clothing,Shirt,4,141.56,566.24,Credit Card,West,2024-02-16,Friday,Evening,Yes,Yes
96,1654,56,Male,36629,Clothing,Shirt,2,394.55,789.1,Credit Card,North,2024-10-10,Thursday,Morning,Yes,No
97,1336,67,Male,108116,Electronics,Headphones,2,493.83,987.66,Cash,East,2024-03-30,Saturday,Morning,Yes,No
98,1015,40,Male,107182,Clothing,Shirt,2,136.36,272.72,Credit Card,West,2024-09-26,Thursday,Morning,Yes,No
99,1459,67,Female,97271,Sports,Football,4,254.4,1017.6,Cash,North,2024-12-03,Tuesday,Evening,No,Yes
100,1469,59,Male,37972,Home,Table,4,344.62,1378.48,Debit Card,West,2024-02-07,Wednesday,Morning,No,Yes
101,1622,27,Male,46540,Clothing,Jacket,5,276.44,1382.2,Debit Card,West,2024-11-01,Friday,Evening,No,Yes
102,1464,50,Female,42999,Electronics,Phone,4,228.52,914.08,Credit Card,West,2024-06-22,Saturday,Afternoon,No,Yes
103,1425,64,Male,70966,Home,Table,3,190.28,570.84,Credit Card,West,2024-02-04,Sunday,Morning,Yes,No
104,1442,24,Female,47054,Sports,Football,5,478.53,2392.65,Cash,East,2024-12-09,Monday,Morning,No,Yes
105,1362,60,Female,36743,Clothing,Jacket,3,179.06,537.18,Cash,South,2024-03-20,Wednesday,Evening,No,Yes
106,1229,24,Female,102910,Clothing,Shirt,3,289.18,867.54,Debit Card,North,2024-11-07,Thursday,Evening,No,Yes
107,1029,29,Female,70499,Clothing,Jeans,1,94.8,94.8,Credit Card,West,2024-02-05,Monday,Morning,Yes,No
108,1764,51,Male,79308,Home,Table,3,82.92,248.76,Debit Card,East,2024-10-17,Thursday,Evening,Yes,No
109,1159,28,Male,118338,Electronics,Headphones,4,332.66,1330.64,Debit Card,West,2024-07-31,Wednesday,Afternoon,Yes,Yes
110,1116,40,Female,44534,Clothing,Jacket,5,245.88,1229.4,Cash,East,2024-01-24,Wednesday,Morning,No,Yes
111,1613,21,Male,56794,Clothing,Shirt,2,383.26,766.52,Debit Card,East,2024-03-02,Saturday,Morning,No,Yes
112,1764,45,Male,46932,Home,Lamp,2,252.63,505.26,Cash,East,2024-02-06,Tuesday,Afternoon,Yes,No
113,1019,47,Male,71033,Sports,Basketball,5,205.19,1025.95,Cash,West,2024-05-28,Tuesday,Morning,No,Yes
114,1021,38,Male,111018,Home,Lamp,3,48.62,145.86,Credit Card,South,2024-08-11,Sunday,Evening,No,Yes
115,1080,43,Female,74500,Grocery,Eggs,2,42.81,85.62,Cash,North,2024-09-28,Saturday,Evening,Yes,No
116,1359,64,Male,60968,Electronics,Phone,3,102.65,307.95,Cash,South,2024-12-01,Sunday,Morning,Yes,Yes
117,1505,47,Female,119277,Sports,Tennis Racket,5,164.99,824.95,Cash,East,2024-03-18,Monday,Afternoon,Yes,No
118,1452,58,Female,66002,Sports,Football,3,256.13,768.39,Debit Card,West,2024-08-19,Monday,Morning,Yes,No
119,1851,36,Male,114497,Electronics,Tablet,4,292.26,1169.04,Cash,North,2024-08-18,Sunday,Evening,Yes,No
120,1619,48,Male,38109,Home,Chair,3,491.28,1473.84,Credit Card,South,2024-01-21,Sunday,Morning,No,Yes
121,1449,51,Male,77696,Clothing,Jeans,4,207.34,829.36,Debit Card,North,2024-11-19,Tuesday,Evening,No,Yes
122,1067,39,Male,103133,Home,Table,3,363.25,1089.75,Cash,South,2024-06-19,Wednesday,Morning,Yes,No
123,1317,59,Female,46901,Sports,Tennis Racket,1,158.24,158.24,Debit Card,East,2024-03-06,Wednesday,Evening,Yes,Yes
124,1686,45,Female,32389,Clothing,Jeans,2,475.83,951.66,Debit Card,West,2024-04-08,Monday,Morning,Yes,No
125,1079,36,Male,96543,Sports,Tennis Racket,5,23.69,118.45,Debit Card,South,2024-11-01,Friday,Afternoon,Yes,No
126,1185,62,Male,87366,Electronics,Tablet,3,339.8,1019.4,Credit Card,West,2024-11-08,Friday,Afternoon,No,Yes
127,1239,52,Male,70562,Home,Chair,3,340.76,1022.28,Cash,West,2024-08-24,Saturday,Afternoon,No,Yes
128,1514,51,Female,51241,Grocery,Bread,3,30.83,92.49,Debit Card,East,2024-10-10,Thursday,Morning,Yes,No
129,1085,66,Male,65755,Home,Lamp,2,416.37,832.74,Credit Card,South,2024-08-18,Sunday,Afternoon,Yes,No
130,1054,43,Female,60903,Home,Chair,3,116.15,348.45,Debit Card,North,2024-12-31,Tuesday,Evening,No,Yes
131,1810,27,Male,35020,Clothing,Jeans,2,380.63,761.26,Debit Card,West,2024-11-11,Monday,Morning,Yes,No
132,1262,31,Male,101932,Sports,Tennis Racket,4,60.04,240.16,Debit Card,South,2024-06-03,Monday,Morning,Yes,No
133,1429,58,Female,38232,Electronics,Tablet,5,270.35,1351.75,Cash,South,2024-03-14,Thursday,Afternoon,No,Yes
134,1001,57,Female,61531,Sports,Basketball,2,333.86,667.72,Credit Card,East,2024-02-04,Sunday,Evening,Yes,No
135,1894,48,Male,113318,Home,Table,3,374.92,1124.76,Debit Card,North,2024-06-25,Tuesday,Morning,Yes,Yes
136,1752,66,Female,47486,Electronics,Headphones,5,172.58,862.9,Cash,South,2024-12-16,Monday,Afternoon,No,Yes
137,1646,29,Male,38270,Home,Chair,3,104.79,314.37,Credit Card,North,2024-06-10,Monday,Afternoon,No,Yes
138,1834,52,Female,63202,Electronics,Phone,3,181.7,545.1,Credit Card,East,2024-05-19,Sunday,Morning,No,Yes
139,1447,43,Female,80678,Clothing,Shirt,4,347.57,1390.28,Debit Card,East,2024-02-12,Monday,Evening,No,Yes
140,1080,45,Male,101496,Clothing,Jeans,1,44.63,44.63,Cash,East,2024-06-05,Wednesday,Afternoon,No,No
141,1706,46,Female,88606,Electronics,Headphones,5,499.08,2495.4,Debit Card,North,2024-02-08,Thursday,Evening,No,Yes
142,1372,50,Male,34081,Grocery,Cheese,1,67.48,67.48,Credit Card,East,2024-07-04,Thursday,Afternoon,Yes,Yes
143,1157,61,Female,78623,Clothing,Jeans,1,289.09,289.09,Cash,East,2024-07-22,Monday,Afternoon,No,No
144,1983,25,Male,54385,Home,Lamp,4,457.2,1828.8,Credit Card,East,2024-05-13,Monday,Evening,No,Yes
145,1219,57,Female,94382,Grocery,Milk,2,427.15,854.3,Debit Card,South,2024-12-31,Tuesday,Afternoon,Yes,Yes
146,1990,38,Female,38511,Sports,Tennis Racket,3,446.21,1338.63,Credit Card,South,2024-07-04,Thursday,Evening,Yes,No
147,1205,68,Male,61029,Home,Chair,3,279.24,837.72,Debit Card,West,2024-10-09,Wednesday,Morning,Yes,No
148,1316,43,Female,98903,Home,Table,5,41.51,207.55,Debit Card,North,2024-08-18,Sunday,Afternoon,No,No
149,1899,67,Male,46912,Home,Lamp,1,416.54,416.54,Cash,South,2024-06-04,Tuesday,Morning,Yes,No
150,1957,63,Male,75353,Sports,Basketball,1,129.05,129.05,Cash,East,2024-03-05,Tuesday,Evening,No,Yes
151,1546,23,Male,107569,Sports,Football,2,331.07,662.14,Cash,East,2024-10-15,Tuesday,Morning,Yes,No
152,1046,59,Female,115344,Grocery,Cheese,5,321.3,1606.5,Debit Card,East,2024-11-24,Sunday,Afternoon,No,Yes
153,1250,69,Female,68985,Home,Chair,1,83.25,83.25,Debit Card,West,2024-08-25,Sunday,Morning,No,Yes
154,1147,38,Female,75268,Home,Chair,3,259.92,779.76,Credit Card,East,2024-05-03,Friday,Afternoon,Yes,No
155,1460,33,Male,42689,Electronics,Headphones,4,432.76,1731.04,Debit Card,South,2024-03-22,Friday,Afternoon,No,Yes
156,1194,66,Male,95308,Sports,Basketball,4,440.14,1760.56,Debit Card,North,2024-02-16,Friday,Afternoon,No,Yes
157,1989,33,Male,106460,Clothing,Shirt,1,144.27,144.27,Cash,West,2024-05-26,Sunday,Evening,Yes,No
158,1441,26,Female,77943,Home,Table,1,203.29,203.29,Cash,South,2024-07-04,Thursday,Evening,No,No
159,1395,50,Female,102070,Clothing,Jacket,5,63.81,319.05,Credit Card,West,2024-07-10,Wednesday,Afternoon,No,Yes
160,1773,27,Male,108966,Sports,Basketball,5,24.93,124.65,Credit Card,South,2024-12-31,Tuesday,Afternoon,No,Yes
161,1467,27,Male,72987,Sports,Basketball,2,199.51,399.02,Cash,East,2024-10-30,Wednesday,Afternoon,No,Yes
162,1725,54,Female,92245,Electronics,Headphones,3,338.53,1015.59,Debit Card,East,2024-12-18,Wednesday,Evening,Yes,Yes
163,1485,34,Male,36731,Sports,Basketball,2,264.5,529.0,Cash,West,2024-03-16,Saturday,Evening,Yes,No
164,1586,62,Male,55006,Electronics,Tablet,3,212.3,636.9,Debit Card,South,2024-07-29,Monday,Evening,No,Yes
165,1893,65,Male,48098,Sports,Football,5,165.9,829.5,Cash,West,2024-09-26,Thursday,Afternoon,No,Yes
166,1979,29,Female,99878,Clothing,Jacket,3,339.55,1018.65,Cash,East,2024-11-08,Friday,Afternoon,Yes,No
167,1285,53,Female,59473,Clothing,Jeans,2,346.67,693.34,Debit Card,East,2024-09-02,Monday,Afternoon,No,Yes
168,1294,25,Female,81712,Clothing,Shirt,3,25.82,77.46,Cash,North,2024-06-26,Wednesday,Afternoon,No,Yes
169,1490,31,Male,100592,Clothing,Jacket,3,72.95,218.85,Cash,South,2024-05-04,Saturday,Morning,Yes,Yes
170,1238,21,Male,84172,Clothing,Jacket,4,54.77,219.08,Credit Card,North,2024-10-08,Tuesday,Morning,No,Yes
171,1957,48,Female,115267,Grocery,Eggs,3,146.28,438.84,Credit Card,North,2024-11-29,Friday,Evening,Yes,Yes
172,1756,64,Male,52946,Home,Chair,1,498.6,498.6,Debit Card,West,2024-04-05,Friday,Evening,No,Yes
173,1897,20,Male,69110,Sports,Tennis Racket,1,464.59,464.59,Debit Card,East,2024-08-20,Tuesday,Evening,No,Yes
174,1910,26,Female,65761,Grocery,Milk,3,85.43,256.29,Debit Card,East,2024-04-05,Friday,Morning,No,No
175,1581,61,Male,53002,Sports,Tennis Racket,4,414.36,1657.44,Cash,East,2024-02-14,Wednesday,Afternoon,Yes,No
176,1143,48,Female,62512,Electronics,Headphones,4,121.58,486.32,Debit Card,East,2024-06-03,Monday,Evening,Yes,No
177,1669,41,Male,38142,Electronics,Tablet,3,84.06,252.18,Cash,East,2024-12-19,Thursday,Morning,No,No
178,1629,32,Male,47507,Home,Chair,4,375.13,1500.52,Cash,East,2024-07-31,Wednesday,Evening,No,Yes
179,1775,52,Male,62435,Sports,Football,5,226.14,1130.7,Cash,East,2024-02-09,Friday,Evening,Yes,No
180,1848,53,Male,105065,Sports,Football,2,167.42,334.84,Cash,West,2024-02-29,Thursday,Evening,Yes,Yes
181,1597,49,Male,96895,Home,Chair,4,70.31,281.24,Debit Card,West,2024-10-15,Tuesday,Morning,No,Yes
182,1826,37,Male,81897,Clothing,Shirt,2,291.26,582.52,Credit Card,West,2024-06-25,Tuesday,Evening,Yes,Yes
183,1061,22,Female,34159,Clothing,Jeans,2,385.64,771.28,Cash,West,2024-07-10,Wednesday,Afternoon,No,Yes
184,1890,42,Female,40518,Sports,Football,3,63.72,191.16,Cash,West,2024-09-27,Friday,Morning,Yes,No
185,1774,19,Female,90686,Sports,Basketball,5,192.74,963.7,Credit Card,South,2024-08-23,Friday,Afternoon,Yes,No
186,1193,64,Male,34222,Home,Lamp,1,124.13,124.13,Credit Card,North,2024-10-31,Thursday,Morning,No,Yes
187,1688,63,Male,62077,Electronics,Tablet,4,121.0,484.0,Credit Card,North,2024-03-12,Tuesday,Evening,No,Yes
188,1239,70,Female,105690,Sports,Tennis Racket,3,122.27,366.81,Credit Card,South,2024-07-30,Tuesday,Afternoon,No,Yes
189,1062,53,Male,112050,Home,Lamp,4,28.21,112.84,Debit Card,West,2024-09-25,Wednesday,Afternoon,No,No
190,1152,37,Female,54101,Sports,Basketball,2,425.42,850.84,Debit Card,South,2024-08-25,Sunday,Morning,No,Yes
191,1991,44,Male,80910,Grocery,Eggs,2,168.48,336.96,Credit Card,West,2024-07-08,Monday,Morning,Yes,No
192,1274,42,Male,39539,Grocery,Bread,4,108.4,433.6,Debit Card,East,2024-01-08,Monday,Morning,Yes,Yes
193,1120,65,Female,61797,Sports,Tennis Racket,2,201.33,402.66,Credit Card,East,2024-05-24,Friday,Afternoon,No,Yes
194,1546,59,Female,70425,Clothing,Jeans,5,441.99,2209.95,Debit Card,North,2024-08-28,Wednesday,Afternoon,Yes,No
195,1320,44,Male,103731,Grocery,Bread,1,134.08,134.08,Cash,West,2024-05-31,Friday,Morning,Yes,No
196,1235,42,Male,95444,Sports,Tennis Racket,3,132.38,397.14,Debit Card,West,2024-08-23,Friday,Morning,No,Yes
197,1173,26,Female,54123,Sports,Tennis Racket,1,264.35,264.35,Credit Card,North,2024-01-04,Thursday,Afternoon,Yes,Yes
198,1236,22,Male,31198,Grocery,Cheese,3,34.92,104.76,Cash,West,2024-12-03,Tuesday,Afternoon,Yes,No
199,1544,53,Female,31553,Electronics,Headphones,5,488.85,2444.25,Credit Card,West,2024-04-01,Monday,Morning,Yes,Yes
200,1152,33,Male,111235,Sports,Basketball,3,137.33,411.99,Debit Card,North,2024-07-10,Wednesday,Afternoon,No,Yes
201,1578,33,Male,69318,Electronics,Laptop,1,205.61,205.61,Debit Card,West,2024-01-29,Monday,Evening,Yes,Yes
202,1175,23,Female,86873,Clothing,Jacket,1,447.92,447.92,Credit Card,South,2024-04-18,Thursday,Evening,No,Yes
203,1277,20,Male,119709,Clothing,Jacket,5,330.76,1653.8,Credit Card,East,2024-01-09,Tuesday,Morning,Yes,Yes
204,1840,43,Male,69226,Grocery,Bread,5,418.15,2090.75,Debit Card,East,2024-07-15,Monday,Evening,Yes,Yes
205,1741,23,Female,37038,Electronics,Tablet,2,420.14,840.28,Debit Card,West,2024-06-16,Sunday,Morning,No,Yes
206,1802,46,Female,59902,Clothing,Jacket,4,218.76,875.04,Cash,West,2024-02-13,Tuesday,Evening,No,Yes
207,1817,33,Male,40752,Clothing,Shirt,4,357.28,1429.12,Cash,South,2024-07-18,Thursday,Afternoon,No,Yes
208,1109,23,Male,70405,Home,Table,3,55.6,166.8,Credit Card,South,2024-08-08,Thursday,Afternoon,No,No
209,1026,23,Female,102642,Electronics,Headphones,4,11.11,44.44,Debit Card,West,2024-02-13,Tuesday,Evening,Yes,Yes
210,1533,28,Female,52216,Grocery,Eggs,3,137.86,413.58,Credit Card,North,2024-03-26,Tuesday,Afternoon,No,Yes
211,1431,37,Female,40082,Clothing,Jeans,2,361.85,723.7,Debit Card,South,2024-08-22,Thursday,Morning,Yes,No
212,1006,43,Female,111289,Home,Table,4,170.69,682.76,Cash,South,2024-06-02,Sunday,Afternoon,Yes,No
213,1321,29,Female,71830,Clothing,Jacket,4,484.04,1936.16,Credit Card,East,2024-07-11,Thursday,Afternoon,No,Yes
214,1373,25,Male,107624,Sports,Football,5,18.32,91.6,Cash,West,2024-12-28,Saturday,Morning,No,No
215,1851,62,Male,83627,Home,Chair,3,124.8,374.4,Cash,South,2024-08-04,Sunday,Afternoon,Yes,No
216,1612,48,Female,100040,Sports,Tennis Racket,4,274.1,1096.4,Debit Card,North,2024-02-25,Sunday,Morning,No,Yes
217,1170,59,Male,103822,Home,Table,4,57.44,229.76,Credit Card,East,2024-04-23,Tuesday,Evening,Yes,No
218,1383,43,Female,119070,Sports,Tennis Racket,5,79.62,398.1,Credit Card,West,2024-02-23,Friday,Afternoon,No,Yes
219,1942,23,Male,48569,Clothing,Jeans,3,230.39,691.17,Credit Card,West,2024-06-27,Thursday,Afternoon,Yes,No
220,1739,62,Female,71800,Electronics,Headphones,1,406.04,406.04,Credit Card,North,2024-06-24,Monday,Evening,Yes,Yes
